Brand,Processor_Brand,Processor_Full,Price,Discount,Original_price,RAM_GB,OS,Platform,Storage_GB,Storage_unit,Display_cm,Display_inch,Warranty,Availability,Processor_Gen_Num,Clean_Description
Msi,Intel,Intel Core Ultra 9 Processor,299990,10,335990.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 inch) Display; 2 Year On-Site Warranty
Apple,Apple,Apple M3 Max Processor,299990,14,349900.0,36.0,Mac OS,Mac,1024.0,TB,40.64,16.0,1.0,In Stock,3.0,"Apple M3 Max Processor; 36 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Built-in Apps- App Store, Books, Calendar, Contacts, FaceTime, Find My, Freeform, GarageBand, Home, iMovie, Keynote, Mail, Maps, Messages, Music, Notes, Numbers, Pages, Photo Booth, Photos, Podcasts, Preview, QuickTime Player, Reminders, Safari, Shortcuts, Siri, Stocks, Time Machine, TV, Voice Memos; 1 Year Limited Warranty"
Alienware,Intel,NVIDIA GeForce RTX 2070,293080,0,293080.0,16.0,Windows 10,Windows,1024.0,TB,39.62,15.6,1.0,In Stock,10.0,"NVIDIA GeForce RTX 2070; 15.6 inch Full HD LED Backlit Anti-glare IPS Display, 300 Hz, 300 Nits; Alienware Cryo-tech thermal technology to keep the system cool and running at highest performance; Tobii-eye tracking to track head pose, presence, fine gaze and eye position; In-built Alienware Command center software with enhanced control over system settings; Intel Core i7 Processor (10th Gen); 16 GB DDR4 RAM; 64 bit Windows 10 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; Microsoft Office Home and Student 2019; 1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail"
Dell,Intel,Intel Core Ultra 9 Processor,288490,21,368036.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core Ultra 9 Processor; 32 GB LPDDR5X RAM; Windows 11 Home Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; Alienware Command Center 6.0; 1 Year Onsite Warranty
Apple,Apple,Apple M1 Max Processor,285990,13,329900.0,32.0,Mac OS,Mac,1024.0,TB,41.15,16.2,1.0,In Stock,1.0,"Apple M1 Max Processor; 32 GB Unified Memory RAM; Mac OS Operating System; 1 TB SSD; 41.15 cm (16.2 inch) Display; iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player; 1 Year Limited Warranty"
Asus,AMD,AMD Ryzen AI 9 12 Core Processor,279990,6,299990.0,32.0,Windows 11,Windows,2048.0,TB,35.56,14.0,1.0,In Stock,9.0,"AMD Ryzen AI 9 12 Core Processor; 32 GB LPDDR5X RAM; Windows 11 Home Operating System; 2 TB SSD; 35.56 cm (14 inch) Display; Microsoft Office Home 2024 (Lifetime Validity) + Microsoft 365 Basic*(1 Year Validity), McAfee 1 Year; 1 Year Onsite Warranty"
Msi,Intel,Intel Core i7 Processor (12th Gen),279990,0,279990.0,16.0,Windows 11,Windows,1024.0,TB,39.62,15.6,2.0,In Stock,12.0,Intel Core i7 Processor (12th Gen); 16 GB DDR5 RAM; 64 bit Windows 11 Operating System; 1 TB SSD; 39.62 cm (15.6 inch) Display; 2 Year On-Site Warranty
Asus,Intel,Intel Core i9 Processor (14th Gen),277994,20,347990.0,32.0,Windows 11,Windows,2048.0,TB,40.64,16.0,1.0,In Stock,14.0,Intel Core i9 Processor (14th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 40.64 cm (16 inch) Display; 1 Year Onsite warranty
Hp,Intel,Intel Core i9 Processor (13th Gen),277278,0,277278.0,32.0,Windows 11,Windows,1024.0,TB,40.64,16.0,1.0,In Stock,13.0,Intel Core i9 Processor (13th Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 1 TB SSD; 40.64 cm (16 Inch) Display; 1 Year Onsite Warranty
Msi,Intel,Intel Core Ultra 9 Processor (1st Gen),274990,29,389990.0,32.0,Windows 11,Windows,2048.0,TB,45.72,18.0,2.0,In Stock,14.0,Intel Core Ultra 9 Processor (1st Gen); 32 GB DDR5 RAM; Windows 11 Operating System; 2 TB SSD; 45.72 cm (18 Inch) Display; 2 Year Warranty Term
